"ID"	"Trial"	"distCorr"	"Speed"	"distWalked"	"Blick"	"bedingung"	"geschw"	"TimeVsSpeed_K_VR"	" TimeVsSpeed_L_VR"	"TimeVsSpeed_K_D"	"TimeVsSpeed_L_D"
"1"	52	7	1.75	5.10432243347	"desktop"	"kurz"	"langsam"	"17"	"6"	"18"	"5"
"1"	53	7	1.75	4.49174880981	"desktop"	"kurz"	"langsam"	"17"	"6"	"18"	"5"
"1"	54	7	3.5	4.8417596817	"desktop"	"kurz"	"schnell"	"17"	"6"	"18"	"5"
"1"	55	7	3.5	3.96683001518	"desktop"	"kurz"	"schnell"	"17"	"6"	"18"	"5"
"1"	56	7	3.5	3.15009021759	"desktop"	"kurz"	"schnell"	"17"	"6"	"18"	"5"
"1"	57	35	3.5	28.1175670624	"desktop"	"lang"	"schnell"	"17"	"6"	"18"	"5"
"1"	58	35	1.75	33.4551773071	"desktop"	"lang"	"langsam"	"17"	"6"	"18"	"5"
"1"	59	7	1.75	4.69590425491	"desktop"	"kurz"	"langsam"	"17"	"6"	"18"	"5"
"1"	60	7	3.5	3.90836834908	"desktop"	"kurz"	"schnell"	"17"	"6"	"18"	"5"
"1"	61	7	1.75	3.90841960907	"desktop"	"kurz"	"langsam"	"17"	"6"	"18"	"5"
"1"	62	7	3.5	3.3249771595	"desktop"	"kurz"	"schnell"	"17"	"6"	"18"	"5"
"1"	63	7	1.75	3.52923440933	"desktop"	"kurz"	"langsam"	"17"	"6"	"18"	"5"
"1"	64	35	1.75	31.5592002869	"desktop"	"lang"	"langsam"	"17"	"6"	"18"	"5"
"1"	65	7	1.75	4.20018291473	"desktop"	"kurz"	"langsam"	"17"	"6"	"18"	"5"
"1"	66	35	1.75	27.9424781799	"desktop"	"lang"	"langsam"	"17"	"6"	"18"	"5"
"1"	67	35	3.5	30.3342666626	"desktop"	"lang"	"schnell"	"17"	"6"	"18"	"5"
"1"	68	35	1.75	27.1549034119	"desktop"	"lang"	"langsam"	"17"	"6"	"18"	"5"
"1"	69	7	3.5	4.14198875427	"desktop"	"kurz"	"schnell"	"17"	"6"	"18"	"5"
"1"	70	7	3.5	4.14190816879	"desktop"	"kurz"	"schnell"	"17"	"6"	"18"	"5"
"1"	71	35	3.5	26.8923778534	"desktop"	"lang"	"schnell"	"17"	"6"	"18"	"5"
"1"	72	35	1.75	25.6674365997	"desktop"	"lang"	"langsam"	"17"	"6"	"18"	"5"
"1"	1	35	3.5	26.4329986572	"vr"	"lang"	"schnell"	"17"	"6"	"18"	"5"
"1"	2	35	1.75	29.4652938843	"vr"	"lang"	"langsam"	"17"	"6"	"18"	"5"
"1"	3	7	1.75	5.79199838638	"vr"	"kurz"	"langsam"	"17"	"6"	"18"	"5"
"1"	4	35	1.75	25.4030075073	"vr"	"lang"	"langsam"	"17"	"6"	"18"	"5"
"1"	5	7	1.75	6.53051280975	"vr"	"kurz"	"langsam"	"17"	"6"	"18"	"5"
"1"	6	7	3.5	5.20883131027	"vr"	"kurz"	"schnell"	"17"	"6"	"18"	"5"
"1"	7	7	1.75	6.4722533226	"vr"	"kurz"	"langsam"	"17"	"6"	"18"	"5"
"1"	8	7	3.5	5.20894193649	"vr"	"kurz"	"schnell"	"17"	"6"	"18"	"5"
"1"	9	35	3.5	23.1678981781	"vr"	"lang"	"schnell"	"17"	"6"	"18"	"5"
"1"	10	35	1.75	30.2038478851	"vr"	"lang"	"langsam"	"17"	"6"	"18"	"5"
"1"	11	35	3.5	34.4410362244	"vr"	"lang"	"schnell"	"17"	"6"	"18"	"5"
"1"	12	7	1.75	6.35560035706	"vr"	"kurz"	"langsam"	"17"	"6"	"18"	"5"
"1"	13	7	3.5	5.90858411789	"vr"	"kurz"	"schnell"	"17"	"6"	"18"	"5"
"1"	14	7	3.5	5.16999387741	"vr"	"kurz"	"schnell"	"17"	"6"	"18"	"5"
"1"	15	35	3.5	7.9300069809	"vr"	"lang"	"schnell"	"17"	"6"	"18"	"5"
"1"	16	35	1.75	29.2320213318	"vr"	"lang"	"langsam"	"17"	"6"	"18"	"5"
"1"	17	35	3.5	29.7760181427	"vr"	"lang"	"schnell"	"17"	"6"	"18"	"5"
"1"	18	35	3.5	30.4370346069	"vr"	"lang"	"schnell"	"17"	"6"	"18"	"5"
"1"	19	35	3.5	39.0665435791	"vr"	"lang"	"schnell"	"17"	"6"	"18"	"5"
"1"	20	7	3.5	5.51973676682	"vr"	"kurz"	"schnell"	"17"	"6"	"18"	"5"
"1"	21	35	1.75	44.3729629517	"vr"	"lang"	"langsam"	"17"	"6"	"18"	"5"
"1"	22	7	3.5	5.09206533432	"vr"	"kurz"	"schnell"	"17"	"6"	"18"	"5"
"1"	23	35	1.75	42.8762397766	"vr"	"lang"	"langsam"	"17"	"6"	"18"	"5"
"1"	24	35	1.75	51.1172409058	"vr"	"lang"	"langsam"	"17"	"6"	"18"	"5"
"1"	25	35	1.75	40.7382087708	"vr"	"lang"	"langsam"	"17"	"6"	"18"	"5"
"1"	26	35	1.75	30.3981971741	"vr"	"lang"	"langsam"	"17"	"6"	"18"	"5"
"1"	27	7	3.5	5.20894289017	"vr"	"kurz"	"schnell"	"17"	"6"	"18"	"5"
"1"	28	7	3.5	5.51985883713	"vr"	"kurz"	"schnell"	"17"	"6"	"18"	"5"
"1"	29	35	3.5	34.5185470581	"vr"	"lang"	"schnell"	"17"	"6"	"18"	"5"
"1"	30	7	1.75	6.8805603981	"vr"	"kurz"	"langsam"	"17"	"6"	"18"	"5"
"1"	31	35	3.5	35.2170829773	"vr"	"lang"	"schnell"	"17"	"6"	"18"	"5"
"1"	32	7	1.75	6.08354234695	"vr"	"kurz"	"langsam"	"17"	"6"	"18"	"5"
"1"	33	7	1.75	4.80078458786	"vr"	"kurz"	"langsam"	"17"	"6"	"18"	"5"
"1"	34	7	3.5	6.25850009918	"vr"	"kurz"	"schnell"	"17"	"6"	"18"	"5"
"1"	35	7	1.75	6.66636371613	"vr"	"kurz"	"langsam"	"17"	"6"	"18"	"5"
"1"	36	7	1.75	6.78350782394	"vr"	"kurz"	"langsam"	"17"	"6"	"18"	"5"
"1"	37	35	3.5	44.1591262817	"vr"	"lang"	"schnell"	"17"	"6"	"18"	"5"
"1"	38	35	1.75	39.6885147095	"vr"	"lang"	"langsam"	"17"	"6"	"18"	"5"
"1"	39	7	1.75	6.31672334671	"vr"	"kurz"	"langsam"	"17"	"6"	"18"	"5"
"1"	40	35	1.75	34.712890625	"vr"	"lang"	"langsam"	"17"	"6"	"18"	"5"
"1"	41	7	1.75	6.56936502457	"vr"	"kurz"	"langsam"	"17"	"6"	"18"	"5"
"1"	42	7	3.5	9.83477878571	"vr"	"kurz"	"schnell"	"17"	"6"	"18"	"5"
"1"	43	7	1.75	7.42455434799	"vr"	"kurz"	"langsam"	"17"	"6"	"18"	"5"
"1"	44	7	3.5	4.00375795364	"vr"	"kurz"	"schnell"	"17"	"6"	"18"	"5"
"1"	45	35	3.5	29.9706249237	"vr"	"lang"	"schnell"	"17"	"6"	"18"	"5"
"1"	46	35	1.75	34.8879737854	"vr"	"lang"	"langsam"	"17"	"6"	"18"	"5"
"1"	47	35	3.5	41.3600883484	"vr"	"lang"	"schnell"	"17"	"6"	"18"	"5"
"1"	48	7	1.75	8.62969779968	"vr"	"kurz"	"langsam"	"17"	"6"	"18"	"5"
"1"	49	7	3.5	5.32536697388	"vr"	"kurz"	"schnell"	"17"	"6"	"18"	"5"
"1"	50	7	3.5	6.91925144196	"vr"	"kurz"	"schnell"	"17"	"6"	"18"	"5"
"1"	51	35	3.5	39.0668334961	"vr"	"lang"	"schnell"	"17"	"6"	"18"	"5"
"1"	52	35	1.75	31.0589179993	"vr"	"lang"	"langsam"	"17"	"6"	"18"	"5"
"1"	53	35	3.5	30.3203372955	"vr"	"lang"	"schnell"	"17"	"6"	"18"	"5"
"1"	54	35	3.5	35.6072006226	"vr"	"lang"	"schnell"	"17"	"6"	"18"	"5"
